Timestamp,AbsoluteLoad,AirFlowRate,AmbientTemp,CoolantTemp,EngineLoad,EngineOilTemp,FuelLevel,RPM,Speed,ThrottlePosition,Ax,Ay,Az,Gx,Gy,Gz,IntakeTemp
1677280637,12.941176470588236,2.17,12.0,67.0,19.215686274509803,48.0,36.470588235294116,733.5,0.0,15.294117647058824,-0.002685546875,-0.104736328125,0.955322265625,-0.1297709923664122,0.33587786259541985,-0.32061068702290074,
1677280638,12.941176470588236,2.17,12.0,67.0,19.215686274509803,48.0,36.07843137254902,726.5,0.0,15.294117647058824,0.015380859375,-0.121337890625,1.024658203125,-0.16793893129770993,0.5267175572519084,-0.3435114503816794,
1677280639,12.941176470588236,2.17,12.0,67.0,19.215686274509803,48.0,35.68627450980392,729.5,0.0,15.294117647058824,-0.004150390625,-0.1025390625,0.96533203125,-0.10687022900763359,0.3053435114503817,-0.26717557251908397,
1677280640,12.941176470588236,2.18,12.0,67.0,19.215686274509803,48.0,36.07843137254902,733.5,0.0,15.294117647058824,-0.019775390625,-0.111572265625,0.9755859375,-0.09923664122137404,0.37404580152671757,-0.2748091603053435,
1677280642,12.941176470588236,2.17,12.0,67.0,19.215686274509803,48.0,36.07843137254902,733.5,0.0,15.294117647058824,-0.013671875,-0.09765625,0.970947265625,-0.183206106870229,0.3969465648854962,-0.2748091603053435,
1677280643,12.941176470588236,2.15,12.0,67.0,19.215686274509803,48.0,36.07843137254902,728.75,0.0,15.294117647058824,0.00732421875,-0.115966796875,1.002685546875,-0.2366412213740458,0.45038167938931295,-0.2900763358778626,
1677280644,12.941176470588236,2.2,12.0,67.0,19.215686274509803,48.0,36.07843137254902,732.0,0.0,15.294117647058824,0.01318359375,-0.07958984375,0.9931640625,-0.2748091603053435,0.5190839694656488,-0.3282442748091603,
1677280645,12.941176470588236,2.17,12.0,67.0,19.215686274509803,48.0,36.470588235294116,731.25,0.0,15.294117647058824,0.00927734375,-0.093017578125,1.01806640625,-0.29770992366412213,0.5801526717557252,-0.3282442748091603,
1677280646,12.941176470588236,2.17,12.0,67.0,19.215686274509803,48.0,36.470588235294116,732.0,0.0,15.294117647058824,0.010498046875,-0.0830078125,1.001953125,-0.2824427480916031,0.5801526717557252,-0.31297709923664124,
1677280648,12.941176470588236,2.17,12.0,67.0,19.215686274509803,48.0,36.470588235294116,732.75,0.0,15.294117647058824,-0.01220703125,-0.084716796875,0.992919921875,-0.29770992366412213,0.5572519083969466,-0.2824427480916031,
1677280649,12.941176470588236,2.18,12.0,67.0,19.215686274509803,48.0,36.470588235294116,731.25,0.0,15.294117647058824,0.01513671875,-0.094482421875,0.9853515625,-0.1297709923664122,0.37404580152671757,-0.2900763358778626,
1677280650,12.941176470588236,2.2,12.0,67.0,19.215686274509803,48.0,36.470588235294116,733.5,0.0,15.294117647058824,-0.010986328125,-0.094482421875,0.979248046875,-0.32061068702290074,0.5801526717557252,-0.2900763358778626,
1677280651,12.941176470588236,2.18,12.0,67.0,19.215686274509803,48.0,36.86274509803921,729.5,0.0,15.294117647058824,-0.00830078125,-0.11279296875,0.96923828125,-0.19083969465648856,0.45038167938931295,-0.31297709923664124,
1677280652,12.941176470588236,2.2,12.0,67.0,19.215686274509803,48.0,36.470588235294116,728.75,0.0,15.294117647058824,0.01318359375,-0.08349609375,0.99365234375,-0.26717557251908397,0.4961832061068702,-0.3053435114503817,
1677280654,17.647058823529413,3.67,12.0,67.0,29.41176470588235,49.0,36.86274509803921,1178.75,0.0,16.470588235294116,-0.00390625,-0.09765625,1.011474609375,-0.17557251908396945,0.366412213740458,-0.2748091603053435,
1677280655,22.352941176470587,3.62,12.0,67.0,32.15686274509804,48.0,36.86274509803921,712.5,0.0,16.470588235294116,0.010009765625,-0.10791015625,1.01416015625,-0.21374045801526717,0.5648854961832062,-0.3282442748091603,
1677280656,20.0,3.0700000000000003,12.0,67.0,29.80392156862745,49.0,36.07843137254902,695.25,0.0,16.07843137254902,0.02001953125,-0.106689453125,0.99609375,-0.24427480916030533,0.48091603053435117,-0.2900763358778626,
1677280657,19.607843137254903,3.06,12.0,67.0,29.019607843137255,49.0,35.68627450980392,686.5,0.0,16.07843137254902,0.009765625,-0.071044921875,1.0126953125,-0.2595419847328244,0.3511450381679389,-0.2595419847328244,
1677280658,19.607843137254903,3.04,12.0,67.0,28.627450980392158,49.0,36.470588235294116,690.5,0.0,16.07843137254902,-0.007080078125,-0.07763671875,1.0087890625,-0.22900763358778625,0.4351145038167939,-0.1297709923664122,
1677280659,19.607843137254903,3.1,12.0,67.0,28.627450980392158,49.0,37.64705882352941,699.0,0.0,16.07843137254902,0.0087890625,-0.12939453125,1.005859375,-0.24427480916030533,0.5419847328244275,-0.1297709923664122,
1677280661,19.215686274509803,3.09,12.0,67.0,28.627450980392158,49.0,27.84313725490196,710.0,0.0,16.07843137254902,-0.001708984375,-0.097900390625,0.9853515625,-0.22137404580152673,0.13740458015267176,-0.22137404580152673,
1677280662,19.607843137254903,3.2,12.0,67.0,28.627450980392158,49.0,32.15686274509804,713.25,0.0,16.07843137254902,0.063232421875,-0.078125,0.99853515625,0.05343511450381679,0.25190839694656486,-1.099236641221374,
1677280663,16.862745098039216,2.85,12.0,67.0,25.88235294117647,49.0,29.80392156862745,827.25,4.0,15.686274509803921,-0.01416015625,-0.01318359375,0.836181640625,1.099236641221374,0.5419847328244275,-1.6564885496183206,
