Timestamp,AbsoluteLoad,AirFlowRate,AmbientTemp,BarometricPressure,CoolantTemp,EngineLoad,EngineOilTemp,FuelLevel,IntakeTemp,RPM,Speed,ThrottlePos
1676839193,12.549019607843137,2.09,17.0,79.0,73.0,18.431372549019606,67.0,66.27450980392157,17.0,739.75,0.0,15.294117647058824
1676839194,12.549019607843137,2.1,17.0,79.0,73.0,18.431372549019606,67.0,66.27450980392157,17.0,735.0,0.0,15.294117647058824
1676839195,12.549019607843137,2.09,17.0,79.0,73.0,18.431372549019606,67.0,66.27450980392157,17.0,740.5,0.0,15.294117647058824
1676839197,12.549019607843137,2.12,17.0,79.0,73.0,18.431372549019606,67.0,66.27450980392157,17.0,735.75,0.0,15.294117647058824
1676839198,12.549019607843137,2.07,17.0,79.0,73.0,18.431372549019606,67.0,66.27450980392157,17.0,739.75,0.0,15.294117647058824
1676839199,12.549019607843137,2.07,17.0,79.0,73.0,18.431372549019606,67.0,66.27450980392157,17.0,740.5,0.0,15.294117647058824
1676839200,12.549019607843137,2.07,17.0,79.0,73.0,18.431372549019606,67.0,66.27450980392157,17.0,735.0,0.0,15.294117647058824
1676839201,12.549019607843137,2.09,17.0,79.0,73.0,18.431372549019606,67.0,65.88235294117646,17.0,740.5,0.0,15.294117647058824
1676839203,12.549019607843137,2.09,17.0,79.0,73.0,18.431372549019606,67.0,66.27450980392157,17.0,739.0,0.0,15.294117647058824
1676839204,12.549019607843137,2.1,17.0,79.0,73.0,18.431372549019606,67.0,65.49019607843137,17.0,740.5,0.0,15.294117647058824
1676839205,12.549019607843137,2.09,17.0,79.0,73.0,18.431372549019606,67.0,66.27450980392157,17.0,736.5,0.0,15.294117647058824
1676841339,19.607843137254903,3.31,17.0,79.0,73.0,29.019607843137255,67.0,66.27450980392157,17.0,700.75,0.0,16.470588235294116
1676841340,21.176470588235293,5.98,17.0,79.0,73.0,29.41176470588235,67.0,65.88235294117646,17.0,696.75,0.0,18.431372549019606
1676841342,19.607843137254903,3.0,17.0,79.0,73.0,32.94117647058823,67.0,66.66666666666667,17.0,932.0,0.0,16.07843137254902
1676841343,19.215686274509803,3.17,17.0,79.0,73.0,29.019607843137255,67.0,66.27450980392157,17.0,939.0,4.0,16.470588235294116
1676841344,20.392156862745097,4.21,17.0,79.0,73.0,30.980392156862745,67.0,64.70588235294117,17.0,914.75,6.0,16.862745098039216
1676841345,37.254901960784316,12.25,17.0,79.0,73.0,50.98039215686274,67.0,63.529411764705884,17.0,1327.25,6.0,27.058823529411764
1676841346,31.764705882352942,16.04,17.0,79.0,73.0,52.549019607843135,67.0,58.8235294117647,17.0,2044.5,10.0,23.92156862745098
1676841348,32.15686274509804,13.31,17.0,79.0,73.0,46.666666666666664,67.0,63.92156862745098,17.0,1685.75,15.0,23.529411764705884
1676841349,29.80392156862745,12.290000000000001,17.0,79.0,73.0,45.09803921568628,67.0,62.35294117647059,17.0,1653.0,19.0,23.137254901960784
1676841350,29.019607843137255,10.76,17.0,79.0,74.0,42.745098039215684,67.0,64.31372549019608,17.0,1687.5,21.0,22.352941176470587
1676841351,44.31372549019608,14.790000000000001,16.0,79.0,74.0,51.372549019607845,67.0,60.78431372549019,16.0,1263.25,23.0,31.372549019607842
1676841352,58.03921568627451,27.810000000000002,16.0,79.0,74.0,89.01960784313725,67.0,63.13725490196079,16.0,1851.5,25.0,39.21568627450981
1676841354,45.09803921568627,19.45,16.0,79.0,74.0,71.37254901960785,67.0,60.78431372549019,16.0,1953.0,29.0,30.19607843137255
1676841355,37.64705882352941,13.43,16.0,79.0,75.0,56.07843137254902,67.0,63.92156862745098,16.0,1775.0,31.0,26.666666666666668
1676841356,31.764705882352942,12.17,16.0,79.0,75.0,47.05882352941177,67.0,68.23529411764706,16.0,1600.75,34.0,23.137254901960784
1676841357,20.784313725490197,4.51,16.0,79.0,75.0,37.254901960784316,67.0,68.23529411764706,16.0,1146.75,35.0,16.470588235294116
1676841358,58.8235294117647,28.35,15.0,79.0,76.0,87.45098039215686,67.0,69.01960784313725,15.0,1933.5,32.0,40.0
1676841360,28.627450980392158,8.39,15.0,79.0,76.0,43.92156862745098,68.0,66.66666666666667,15.0,1596.0,36.0,19.607843137254903
1676841361,23.52941176470588,13.98,15.0,79.0,76.0,25.88235294117647,68.0,68.23529411764706,15.0,1191.25,35.0,22.352941176470587
1676841362,37.254901960784316,10.5,15.0,79.0,76.0,55.294117647058826,68.0,68.62745098039215,15.0,1152.25,33.0,29.80392156862745
1676841363,41.568627450980394,11.76,15.0,79.0,77.0,58.8235294117647,68.0,68.62745098039215,15.0,1158.5,33.0,30.58823529411765
1676841364,55.68627450980392,16.95,15.0,79.0,77.0,81.17647058823529,68.0,64.70588235294117,15.0,1229.5,32.0,32.94117647058823
1676841366,57.254901960784316,18.1,15.0,79.0,77.0,84.70588235294117,68.0,67.84313725490196,15.0,1289.75,34.0,34.11764705882353
1676841367,34.509803921568626,11.0,15.0,79.0,77.0,50.588235294117645,68.0,63.92156862745098,15.0,1259.25,36.0,29.80392156862745
1676841368,52.15686274509804,16.73,15.0,79.0,77.0,77.25490196078431,68.0,66.66666666666667,15.0,1293.75,36.0,33.72549019607843
1676841369,52.549019607843135,17.31,15.0,79.0,78.0,77.6470588235294,68.0,62.35294117647059,15.0,1342.75,36.0,34.11764705882353
1676841370,12.549019607843137,2.85,15.0,79.0,78.0,21.96078431372549,68.0,69.80392156862744,15.0,1305.25,37.0,16.07843137254902
