Datetime,Timestamp,AbsoluteLoad,AirFlowRate,AmbientTemp,CoolantTemp,EngineLoad,EngineOilTemp,FuelLevel,RPM,Speed,ThrottlePosition,Ax,Ay,Az,Gx,Gy,Gz,IntakeTemp
2023-02-24 16:17:17,1677280637.3378134,14.771241830065359,2.77,12.0,60.46666666666667,52.88888888888889,48.0,36.470588235294116,646.8,5.866666666666666,15.588235294117647,-0.016845703125,-0.06044921875,0.96630859375,-0.08396946564885496,0.42137404580152676,-0.28091603053435116,25.0
2023-02-24 16:17:18,1677280638.3261642,12.017710309930424,3.6780645161290324,12.0,77.16129032258064,37.72296015180266,48.0,36.394686907020876,751.766129032258,16.903225806451612,15.635673624288424,-0.028973979334677418,-0.10562626008064516,0.9957314768145161,-0.09726668308298449,0.43979315439546907,-0.11967495690716573,11.516129032258064
2023-02-24 16:17:19,1677280639.4460201,13.56401384083045,3.665,12.0,75.6470588235294,37.20876585928489,48.0,36.009227220299884,748.1397058823529,16.91176470588235,15.732410611303344,-0.029598460477941176,-0.07490808823529412,1.0098517922794117,-0.4948361023798832,0.37180062864840596,-0.13785361472833407,11.5
2023-02-24 16:17:20,1677280640.59591,20.19607843137255,8.871764705882352,12.0,76.26470588235294,50.069204152249135,48.0,35.75547866205306,970.8529411764706,13.705882352941176,18.143021914648212,-0.03781307444852941,-0.09267290900735294,1.0164866727941178,0.03188145487202515,0.46385271665918276,-0.08262236192186799,11.058823529411764
2023-02-24 16:17:21,1677280641.6832397,17.33893557422969,9.504285714285714,12.0,78.25,56.4985994397759,48.0,36.07843137254902,1116.9375,15.714285714285714,17.77310924369748,-0.052943638392857144,0.05043247767857143,0.9424176897321429,-0.37731733914940024,0.7742639040348964,1.6641221374045803,11.107142857142858
2023-02-24 16:17:22,1677280642.6330793,19.86928104575163,9.361333333333334,12.0,76.46666666666667,52.27450980392157,48.0,36.07843137254902,1134.8916666666667,14.366666666666667,17.80392156862745,-0.0408203125,-0.021744791666666666,0.990673828125,-0.19338422391857507,0.4356234096692112,-0.07124681933842239,10.9
2023-02-24 16:17:23,1677280643.5224853,31.550802139037433,12.786818181818182,12.0,75.04545454545455,39.98217468805704,48.0,36.07843137254902,753.9545454545455,4.545454545454546,20.35650623885918,0.00341796875,-0.03225985440340909,1.0070911754261365,-0.1453851492019431,0.4937543372657876,-0.8844552394170715,10.363636363636363
2023-02-24 16:17:24,1677280644.373876,31.88235294117647,15.658333333333333,12.0,73.73333333333333,58.03921568627451,48.0,36.07843137254902,1296.1,12.466666666666667,20.60130718954248,-0.31201171875,-0.10135904947916667,0.8487548828125,-0.4343511450381679,-1.5636132315521631,-0.8867684478371501,10.933333333333334
2023-02-24 16:17:25,1677280645.4294636,29.99367488931056,16.05516129032258,12.0,74.3225806451613,53.4471853257432,48.0,36.217583807716636,1287.8790322580646,14.064516129032258,20.6831119544592,0.00046465473790322583,-0.04073210685483871,1.0001575100806452,0.9379463186407289,1.4481654764836247,1.2620044324058113,11.290322580645162
2023-02-24 16:17:26,1677280646.4432197,18.471940500338064,8.501379310344829,12.0,76.79310344827586,40.62204192021636,48.0,36.470588235294116,1002.9741379310345,15.689655172413794,18.228532792427316,-0.007147427262931034,-0.05392982219827586,1.0424973060344827,0.7009739405106606,1.1621479336667544,0.7251908396946564,9.931034482758621
2023-02-24 16:17:27,1677280647.4615312,22.705882352941178,8.455333333333334,12.0,75.73333333333333,47.88235294117647,48.0,36.470588235294116,892.8333333333334,17.1,18.19607843137255,-0.07848307291666666,-0.0007975260416666667,1.0222819010416666,-0.5765903307888041,0.35572519083969467,1.1587786259541986,11.366666666666667
2023-02-24 16:17:28,1677280648.4147432,23.87955182072829,9.49642857142857,12.0,74.25,49.17366946778712,48.0,36.470588235294116,936.6964285714286,16.714285714285715,18.711484593837532,0.0037667410714285715,-0.07083565848214286,0.9983607700892857,0.2998909487459106,1.0479825517993455,-1.0937840785169028,11.607142857142858
2023-02-24 16:17:29,1677280649.4808955,19.36562860438293,8.165882352941177,12.0,74.11764705882354,44.47520184544406,48.0,36.470588235294116,930.1470588235294,15.264705882352942,17.87773933102653,0.00439453125,-0.021125344669117647,0.9269875919117647,0.17198024247867086,0.46385271665918276,0.3583295913785362,11.323529411764707
2023-02-24 16:17:30,1677280650.6369305,11.9838523644752,3.8432352941176475,12.0,74.94117647058823,39.63091118800462,48.0,36.470588235294116,814.9779411764706,14.735294117647058,15.767012687427913,0.06621955422794118,-0.07684685202205882,0.9861988740808824,0.2954647507858105,0.7651549169286035,1.5707229456668164,11.323529411764707
2023-02-24 16:17:31,1677280651.7093503,12.988235294117647,3.7407999999999997,12.0,73.72,34.85490196078431,48.0,36.8,831.64,15.6,15.717647058823529,-0.023603515625,-0.005146484375,0.89384765625,-1.484885496183206,0.7465648854961832,0.4436641221374046,10.0
2023-02-24 16:17:32,1677280652.5341563,13.56572258533043,3.747777777777778,12.0,76.07407407407408,37.89397240377633,48.0,36.659404502541754,763.7129629629629,20.925925925925927,15.773420479302832,0.032054759837962965,-0.07307038483796297,0.9515154803240741,-0.1156347186881538,0.13655640373197625,5.227311280746395,12.37037037037037
2023-02-24 16:17:33,1677280653.5059233,15.037187288708587,4.8148275862068965,12.0,78.34482758620689,44.75997295469912,48.06896551724138,36.55172413793103,855.948275862069,20.344827586206897,16.578769438810006,-0.0684435614224138,-0.029364224137931036,0.9545309132543104,0.07554619636746512,0.7154514345880495,-0.9160305343511451,11.10344827586207
